,Dimension,Time (s)
0,3,0.00039076805114746094
1,4,0.00034809112548828125
2,5,0.0013818740844726562
3,6,0.008142232894897461
4,7,0.05610394477844238
5,8,0.486483097076416
6,9,4.823705196380615
7,10,52.999459981918335
8,11,643.236967086792
9,12,8341.20871925354
